Before erosion ID,Initial X,Initial Y,Initial Z,Norm Initial X,Norm Initial Y,Norm Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 Connectivity,4 Connectivity,5 Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
136,0.219,0.124,0.2369694,0.606,0.254,0.649,4,136,Not eroded,0,1,1,1,0,0,0,0,0,1,1,0.605801413,0.254451039,0.648970979,1
140,0.0907,0.324,0.2556761,0.129,0.996,0.716,3,140,Not eroded,0,1,1,1,1,1,1,0,0,1,1,0.128672369,0.996290801,0.715818522,1
144,0.226,0.147,0.2711096,0.632,0.34,0.771,0,144,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.631833395,0.339762611,0.770969434,1
150,0.264,0.142,0.2302506,0.773,0.321,0.625,4,150,Not eroded,0,1,1,1,0,0,0,0,0,1,1,0.77314987,0.321216617,0.624961652,1
155,0.0577,0.241,0.2614585,0.00595,0.688,0.736,0,155,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.005950167,0.6884273,0.736481666,1
157,0.0921,0.223,0.2771613,0.134,0.622,0.793,0,157,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.133878765,0.621661721,0.792594909,1
158,0.287,0.29,0.2435469,0.859,0.87,0.672,5,158,Not eroded,0,1,1,1,1,0,0,0,0,0,1,0.858683525,0.870178042,0.672475377,1
160,0.183,0.188,0.3253551,0.472,0.492,0.965,0,160,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.471922648,0.491839763,0.964813265,1
161,0.0565,0.0974,0.229806,0.00149,0.156,0.623,4,161,Not eroded,0,1,1,0,0,0,0,0,0,1,1,0.001487542,0.15578635,0.623372894,1
162,0.265,0.101,0.3031245,0.777,0.169,0.885,0,162,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.776868724,0.169139466,0.885373225,1
