Before erosion ID,Initial X,Initial Y,Initial Z,Norm Initial X,Norm Initial Y,Norm Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Z location Half,Norm Z location 0.5714,Norm Z location 0.60714,Norm Z location 0.6429,Norm Z location 0.6786,Norm Z location 0.7143,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
98,0.297,0.108,0.225,0.899,0.194,0.604,4,98,Not eroded,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0.8994787788533134,0.19360832404310666,0.6039957188726365,1
99,0.201,0.324,0.292,0.542,0.996,0.843,2,99,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.5420699925539836,0.9962839093273876,0.8430253300035676,1
105,0.109,0.0565,0.315,0.2,0.00223,0.925,0,105,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.19955323901712585,0.002229654403567459,0.9250802711380662,1
107,0.0843,0.314,0.301,0.108,0.959,0.875,0,107,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.10759493670886076,0.9591230026012635,0.8751337852301105,1
108,0.208,0.197,0.269,0.568,0.524,0.761,5,108,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0.5681310498883096,0.5243403939056113,0.760970388869069,1
109,0.0779,0.294,0.316,0.0838,0.885,0.929,0,109,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.08376768428890544,0.8848011891490152,0.9286478772743488,1
110,0.288,0.132,0.281,0.866,0.283,0.804,3,110,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.8659717051377512,0.28279450018580454,0.8037816625044596,1
111,0.323,0.269,0.233,0.996,0.792,0.633,4,111,Not eroded,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0.996276991809382,0.791898922333705,0.6325365679628969,1
113,0.0563,0.226,0.232,0.00335,0.632,0.629,0,113,Not eroded,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0.003350707371556236,0.6321070234113713,0.6289689618266144,1
119,0.293,0.323,0.277,0.885,0.993,0.79,0,119,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8845867460908413,0.9925678186547752,0.7895112379593294,1
127,0.0939,0.241,0.22,0.143,0.688,0.586,0,127,Not eroded,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0.14333581533879375,0.6878483835005573,0.5861576881912237,1
131,0.219,0.177,0.31,0.609,0.45,0.907,0,131,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6090841399851079,0.450018580453363,0.9072422404566535,1
132,0.225,0.094,0.258,0.631,0.142,0.722,3,132,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.6314221891288161,0.1415830546265329,0.7217267213699609,1
134,0.3,0.304,0.325,0.911,0.922,0.961,0,134,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9106478034251675,0.9219620958751393,0.9607563325008919,1
135,0.213,0.109,0.301,0.587,0.197,0.875,0,135,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5867460908413998,0.19732441471571907,0.8751337852301105,1
143,0.171,0.233,0.321,0.43,0.658,0.946,0,143,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.43037974683544306,0.6581196581196581,0.9464859079557616,1
147,0.193,0.324,0.221,0.512,0.996,0.59,0,147,Not eroded,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0.5122859270290394,0.9962839093273876,0.5897252943275063,1
148,0.19,0.198,0.283,0.501,0.528,0.811,5,148,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0.5011169024571854,0.5280564845782237,0.8109168747770246,1
149,0.0562,0.0952,0.268,0.00298,0.146,0.757,3,149,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.0029784065524944233,0.1460423634336678,0.7574027827327864,1
151,0.151,0.156,0.269,0.356,0.372,0.761,5,151,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0.35591958302308263,0.3719806763285024,0.760970388869069,1
155,0.156,0.11,0.216,0.375,0.201,0.572,6,155,Not eroded,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3745346239761727,0.2010405053883315,0.5718872636460934,1
156,0.304,0.113,0.227,0.926,0.212,0.611,6,156,Not eroded,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.9255398361876396,0.21218877740616873,0.6111309311452016,1
162,0.241,0.217,0.227,0.691,0.599,0.611,3,162,Not eroded,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0.6909903201787043,0.5986622073578595,0.6111309311452016,1
163,0.112,0.187,0.287,0.211,0.487,0.825,5,163,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0.2107222635889799,0.48717948717948717,0.8251872993221547,1
166,0.214,0.173,0.254,0.59,0.435,0.707,5,166,Not eroded,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0.5904690990320178,0.43515421776291335,0.7074562968248306,1
172,0.284,0.24,0.225,0.851,0.684,0.604,0,172,Not eroded,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0.8510796723752792,0.684132292827945,0.6039957188726365,1
176,0.148,0.0881,0.245,0.345,0.12,0.675,0,176,Not eroded,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0.34475055845122854,0.11965811965811965,0.6753478415982875,1
179,0.301,0.175,0.248,0.914,0.443,0.686,5,179,Not eroded,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0.9143708116157855,0.4425863991081382,0.6860506600071352,1
183,0.299,0.171,0.295,0.907,0.428,0.854,0,183,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9069247952345494,0.42772203641768863,0.8537281484124153,1
184,0.312,0.102,0.277,0.955,0.171,0.79,0,184,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9553239017125837,0.17131178000743216,0.7895112379593294,1
185,0.172,0.213,0.24,0.434,0.584,0.658,2,185,Not eroded,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0.434102755026061,0.5837978446674098,0.6575098109168748,1
187,0.289,0.163,0.236,0.87,0.398,0.643,3,187,Not eroded,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0.8696947133283692,0.3979933110367893,0.6432393863717445,1
189,0.135,0.185,0.249,0.296,0.48,0.69,3,189,Not eroded,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0.29635145197319435,0.47974730583426234,0.6896182661434178,1
195,0.265,0.132,0.295,0.78,0.283,0.854,0,195,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7803425167535368,0.28279450018580454,0.8537281484124153,1
197,0.262,0.0816,0.237,0.769,0.0955,0.647,3,197,Not eroded,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0.7691734921816828,0.095503530286139,0.6468069925080271,1
198,0.0562,0.124,0.283,0.00298,0.253,0.811,3,198,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.0029784065524944233,0.2530657748049052,0.8109168747770246,1
199,0.215,0.287,0.268,0.594,0.859,0.757,0,199,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5941921072226358,0.8587885544407282,0.7574027827327864,1
202,0.148,0.0564,0.233,0.345,0.00186,0.633,3,202,Not eroded,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0.34475055845122854,0.0018580453363062075,0.6325365679628969,1
205,0.269,0.117,0.316,0.795,0.227,0.929,0,205,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7952345495160089,0.2270531400966184,0.9286478772743488,1
208,0.324,0.221,0.232,1.0,0.614,0.629,5,208,Not eroded,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.0,0.6135265700483091,0.6289689618266144,1
210,0.234,0.111,0.223,0.665,0.205,0.597,6,210,Not eroded,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6649292628443783,0.2047565960609439,0.5968605066000714,1
211,0.0991,0.232,0.29,0.163,0.654,0.836,7,211,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.16269545793000742,0.6544035674470458,0.8358901177310024,1
212,0.185,0.133,0.296,0.483,0.287,0.857,2,212,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.4825018615040953,0.28651059085841696,0.8572957545486978,1
216,0.105,0.157,0.263,0.185,0.376,0.74,5,216,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0.18466120625465374,0.3756967670011148,0.7395647520513736,1
218,0.305,0.175,0.336,0.929,0.443,1.0,0,218,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9292628443782576,0.4425863991081382,1.0,1
222,0.227,0.0648,0.232,0.639,0.0331,0.629,4,222,Not eroded,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0.6388682055100521,0.03307320698625046,0.6289689618266144,1
223,0.315,0.308,0.284,0.966,0.937,0.814,0,223,ERODED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9664929262844378,0.936826458565589,0.814484480913307,1
224,0.207,0.291,0.28,0.564,0.874,0.8,4,224,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.5644080416976917,0.8736529171311779,0.8002140563681771,1
227,0.0659,0.178,0.248,0.0391,0.454,0.686,6,227,Not eroded,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0.03909158600148921,0.45373467112597543,0.6860506600071352,1
229,0.313,0.235,0.294,0.959,0.666,0.85,2,229,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.9590469099032017,0.6655518394648828,0.8501605422761327,1
231,0.0959,0.172,0.273,0.151,0.431,0.775,5,231,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0.1507818317200298,0.43143812709030094,0.7752408134141991,1
232,0.132,0.0796,0.237,0.285,0.0881,0.647,3,232,Not eroded,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0.28518242740134025,0.08807134894091417,0.6468069925080271,1
233,0.0562,0.0729,0.26,0.00298,0.0632,0.729,3,233,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.0029784065524944233,0.06317354143441103,0.7288619336425259,1
234,0.103,0.188,0.292,0.177,0.491,0.843,5,234,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0.1772151898734177,0.4908955778520996,0.8430253300035676,1
237,0.0562,0.29,0.267,0.00298,0.87,0.754,0,237,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0029784065524944233,0.8699368264585655,0.7538351765965038,1
239,0.0566,0.253,0.275,0.00447,0.732,0.782,0,239,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.004467609828741622,0.7324414715719063,0.7823760256867642,1
240,0.0562,0.0926,0.228,0.00298,0.136,0.615,0,240,Not eroded,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0.0029784065524944233,0.13638052768487552,0.6146985372814842,1
242,0.172,0.234,0.265,0.434,0.662,0.747,4,242,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.434102755026061,0.6618357487922706,0.7466999643239387,1
