Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Unnamed: 8,Z location Half,Unnamed: 10,Z location 0.22,Unnamed: 12,Z location 0.23,Unnamed: 14,Z location 0.24,Unnamed: 16,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,Unnamed: 24,4Connectivity,5Connectivity,2Connectivity,1Connectivity,0Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
88,0.136,0.131,0.296,0,88,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.29870129870129875,0.2804154302670623,0.857142857142857,1
89,0.0815,0.113,0.32,0,89,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.09647495361781076,0.2136498516320475,0.9428571428571428,1
92,0.212,0.292,0.288,2,92,Not eroded,0,0,1,0,1,0,1,0,1,0,1,1.48e-06,1.13e-06,1.34e-06,2.29e-06,1.15e-06,1,0.0041,1,1,1,0,0,0.5807050092764379,0.8775964391691393,0.8285714285714284,1
93,0.257,0.184,0.313,4,93,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-3.03e-06,-5.12e-06,-2.07e-06,6.3e-06,1.57e-06,0,0.0113,1,1,0,0,0,0.7476808905380334,0.4770029673590504,0.9178571428571428,1
95,0.109,0.197,0.23,4,95,Not eroded,0,0,1,0,1,0,0,0,0,0,0,2.89e-07,2.26e-07,9.14e-08,3.78e-07,9.45e-08,0,0.000676,1,1,0,0,0,0.19851576994434136,0.5252225519287834,0.6214285714285714,1
98,0.056,0.233,0.222,3,98,Not eroded,0,0,1,0,1,0,0,0,0,0,0,-1.27e-07,-3.32e-08,8.02e-09,1.31e-07,4.37e-08,1,0.000234,1,1,0,0,0,0.0018552875695732854,0.658753709198813,0.5928571428571429,1
99,0.246,0.205,0.24,5,99,Not eroded,0,0,1,0,1,0,1,0,0,0,0,-4e-06,2.63e-06,4.96e-06,6.89e-06,1.38e-06,0,0.0123,0,1,0,0,0,0.7068645640074211,0.5548961424332344,0.657142857142857,1
107,0.209,0.225,0.297,7,107,Not eroded,0,0,1,0,1,0,1,0,1,0,1,3.91e-06,-8.28e-07,2.55e-06,4.74e-06,6.77e-07,0,0.00848,0,0,0,0,0,0.5695732838589981,0.629080118694362,0.8607142857142857,1
108,0.287,0.176,0.259,0,108,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.8589981447124303,0.44732937685459934,0.725,1
109,0.0927,0.066,0.26,3,109,Not eroded,0,0,1,0,1,0,1,0,1,0,1,2.17e-07,2.65e-07,1.46e-07,3.72e-07,1.24e-07,1,0.000665,1,1,0,0,0,0.13803339517625232,0.039317507418397644,0.7285714285714285,1
