Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Porosity_here,Porosity_front,Porosity_diff,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity
92,0.133,0.325,0.2912427,4,Not eroded,0,0,0,0,1,1,0.3559732,0.99,-0.6340268,0.2917742530431575,0.9963072378138847,0.8407975742100586,1,0.5047057655167801,0.5714285714285714
99,0.25,0.0723,0.3253012,0,ERODED,1,1,1,1,1,1,0.3873386,0.99,-0.6026614,0.7233493175949833,0.06314623338257017,0.9619593584275681,1,0.8816518633219304,0.0
103,0.0846,0.325,0.2789918,0,Not eroded,0,1,1,1,1,1,0.4120043,0.99,-0.5779957,0.11324234599778676,0.9963072378138847,0.7972154756951421,1,0.36911761719547664,0.0
111,0.241,0.202,0.2469274,0,Not eroded,0,1,1,1,1,1,0.2678852,0.3770868,-0.1092016,0.6901512357063814,0.5420974889217134,0.683147624384488,1,0.014241434789807871,0.0
113,0.165,0.165,0.3086108,0,ERODED,1,1,1,1,1,1,0.3875078,0.99,-0.6024922,0.4098118775359646,0.4054652880354505,0.9025839119662172,1,0.6969290730990176,0.0
118,0.123,0.0559,0.269771,0,Not eroded,0,1,1,1,1,1,0.2891981,0.3642182,-0.0750201,0.2548874953891553,0.002584933530280647,0.7644128396450278,1,0.26706542527152977,0.0
125,0.173,0.288,0.2626524,0,Not eroded,0,1,1,1,1,1,0.311638,0.3858649,-0.0742269,0.4393212836591663,0.8596750369276217,0.7390886980318987,1,0.1882795570789867,0.0
126,0.104,0.325,0.3200765,0,ERODED,1,1,1,1,1,1,0.4120043,0.99,-0.5779957,0.18480265584655106,0.9963072378138847,0.9433726921327745,1,0.8238269362933595,0.0
131,0.159,0.18,0.3359944,0,ERODED,1,1,1,1,1,1,0.3308816,0.99,-0.6591184,0.38767982294356323,0.46085672082717866,1.0,1,1.0,0.0
133,0.298,0.118,0.3154052,0,ERODED,1,1,1,1,1,1,0.40286,0.99,-0.58714,0.9004057543341939,0.2319054652880354,0.9267547247350545,1,0.7721268230565115,0.0
