Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Unnamed: 8,Z location Half,Unnamed: 10,Z location 0.22,Unnamed: 12,Z location 0.23,Unnamed: 14,Z location 0.24,Unnamed: 16,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,Unnamed: 24,4Connectivity,5Connectivity,2Connectivity,1 connectivity,0Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
107,0.209,0.225,0.297,7,107,Not eroded,0,0,1,0,1,0,1,0,1,0,1,3.91E-06,-8.28E-07,2.55E-06,4.74E-06,6.77E-07,0,0.00848,0,0,0,0,0,0.569573284,0.629080119,0.860714286,1
108,0.287,0.176,0.259,0,108,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.858998145,0.447329377,0.725,1
109,0.0927,0.066,0.26,3,109,Not eroded,0,0,1,0,1,0,1,0,1,0,1,2.17E-07,2.65E-07,1.46E-07,3.72E-07,1.24E-07,1,0.000665,1,1,0,0,0,0.138033395,0.039317507,0.728571429,1
110,0.192,0.101,0.269,3,110,Not eroded,0,0,1,0,1,0,1,0,1,0,1,3.26E-07,1.10E-07,-8.92E-08,3.55E-07,1.18E-07,1,0.000635,1,1,0,0,0,0.506493506,0.169139466,0.760714286,1
114,0.231,0.173,0.265,0,114,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.651205937,0.43620178,0.746428571,1
116,0.0856,0.169,0.275,0,116,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.111688312,0.421364985,0.782142857,1
123,0.155,0.0727,0.276,5,123,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-1.39E-08,-4.46E-08,-3.63E-07,3.66E-07,7.33E-08,0,0.000655,0,1,0,0,0,0.369202226,0.064169139,0.785714286,1
128,0.242,0.184,0.303,4,128,Not eroded,0,0,1,0,1,0,1,0,1,0,1,9.27E-06,5.16E-06,6.95E-08,1.06E-05,2.65E-06,0,0.019,1,1,0,0,0,0.692022263,0.477002967,0.882142857,1
129,0.247,0.297,0.291,0,129,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.710575139,0.896142433,0.839285714,1
131,0.0781,0.0822,0.247,4,131,Not eroded,0,0,1,0,1,0,1,0,1,0,0,1.11E-07,2.01E-07,9.09E-08,2.47E-07,6.18E-08,0,0.000442,1,1,0,0,0,0.083858998,0.099406528,0.682142857,1
135,0.298,0.324,0.24,0,135,Not eroded,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.899814471,0.996290801,0.657142857,1
139,0.056,0.15,0.292,2,139,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-4.53E-08,-1.76E-08,-9.01E-08,1.02E-07,5.12E-08,1,0.000182,1,1,1,0,0,0.001855288,0.350890208,0.842857143,1
141,0.281,0.221,0.325,0,141,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.836734694,0.614243323,0.960714286,1
142,0.224,0.0561,0.25,3,142,Not eroded,0,0,1,0,1,0,1,0,1,0,0,3.83E-07,-1.43E-07,-9.97E-08,4.21E-07,1.40E-07,1,0.000753,1,1,0,0,0,0.625231911,0.002596439,0.692857143,1
143,0.0561,0.0682,0.318,0,143,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.002226345,0.047477745,0.935714286,1
145,0.056,0.178,0.231,4,145,Not eroded,0,0,1,0,1,0,1,0,0,0,0,-2.65E-07,4.35E-08,3.67E-07,4.55E-07,1.14E-07,0,0.000814,1,1,0,0,0,0.001855288,0.454747774,0.625,1
150,0.0766,0.206,0.323,0,150,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.078293135,0.558605341,0.953571429,1
158,0.0665,0.325,0.295,0,158,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.040816327,1,0.853571429,1
